"id";"name";"meta_keywords";"tags"
"435";"Как реконструируют Гребной канал в Крылатском";"";"Спортивные сооружения"
"436";"Строительство социальных объектов в «новой Москве»";"";"новая Москва"
"437";"В 2015 году кадетская школа-интернат № 1 примет 420 воспитанников";"";"Школы|Сергей Собянин"
"438";"""Вечер с Ксенией Соколянской"": Технопарк МФТИ построят до конца года";"";"Марат Хуснуллин|Сергей Собянин"
"439";"Новую станцию метро построят на пересечении МКАД и Калужского шоссе";"";\N
"440";"Новая линия метро в районе Комунарки увеличится до семи станций";"";"Метрополитен"
"442";"Каким станет бассейн «Лужники» после реконструкции";"";"Спортивные сооружения"
"443";"Осмотр хода строительства стадиона «Спартак». М. Хуснуллин, Л. Федун";"";"Спортивные сооружения|Марат Хуснуллин"
"444";"Открытие эстакады на Дмитровском шоссе. С. Собянин, М. Хуснуллин";"";"Эстакады|Дмитровское шоссе|Марат Хуснуллин|Сергей Собянин"
"445";"Пресс-подход Марата Хуснуллина по итогам объезда СЗАО";"";"СЗАО|Марат Хуснуллин"
"446";"Посещение Первого московского кадетского корпуса мэром Москвы Сергеем Собяниным";"";"Сергей Собянин"
"447";"Выездное заседание правительства Москвы на ВДНХ. Доклад М.Ш. Хуснуллина";"";"Заседания правительства|Марат Хуснуллин"
"448";"Каким будет «Парк легенд» на ЗиЛе?";"";"Промзоны|Спортивные сооружения"
"449";"Какие поликлиники появятся в Москве к 2018 году";"";"поликлиники"
"450";"Какие станции метро планируют открыть в 2014 году";"";"Метрополитен"
"451";"Благоустройство набережных Москвы-реки";"";"новости города"
"453";"Развязку Волгоградского проспекта с МКАД откроют в сентябре";"";"Дорожное строительство|Волгоградский проспект"
"454";"Лучшую концепцию развития завода ""Серп и Молот"" определят к июлю";"";"Промзоны"
"455";"Сергей Собянин осмотрел ход строительства станции метро ""Рассказовка""";"";\N
"456";"Осмотр территории завода «Серп и Молот» в рамках субботнего объезда ЮВАЮ. М. Хуснуллин";"";"Промзоны|Марат Хуснуллин|ЮВАО"
"457";"Осмотр хода строительства транспортных развязок  на пересечении Новорязанского шоссе и улиц Генерала Кузнецова и Маршала Полубоярова и на пересечении Волгоградского проспекта и МКАД";"";"Развязка МКАД с Волгоградским проспектом"
"458";"Подведение итогов конкурса на разработку архитектурной концепции развития ГМИИ имени А.С. Пушкина";"";"Конкурс"
"459";"Реконструкция бассейна «Лужники» начнется в феврале 2015 года";"";"реконструкция стадиона ""Лужники"""
"460";"Развязку на пересечении МКАД с Каширкой реконструируют в 2015 г.";"";"Развязка МКАД с Каширским шоссе"
"461";"«Москва в цифрах»: В столице появился инновационный детский сад";"";"Детские сады"
"462";"Конкурс профессионального мастерства «Машинист автокрана»";"";"Конкурс"
"463";"Завершение работ по бетонированию пролетных строений на эстакаде развязки Варшавского шоссе с улицей Академика Янгеля";"";"Эстакады|Варшавское шоссе"
"464";"Осмотр квартала комплексной жилой застройки в районе Западное Дегунино";"";"Строительство жилых домов"
"467";"Новый архитектурный макет Москвы";"";\N
"468";"Москва-река должна стать важнейшей осью города";"";"Сергей Кузнецов|новости города"
"469";"Комментарий М.Ш. Хуснуллина о подготовке спортивных объектов к ЧМ";"";"Спортивные сооружения|Марат Хуснуллин"
"470";"Марат Хуснуллин о макете Москвы";"";"Марат Хуснуллин"
"471";"Осмотр выполненных работ по реконструкции подземного перехода «Московский»";"";"новости города"
"472";"Андрей Бочкарев о реконструкции Варшавского шоссе, Волгоградки, шоссе Энтузиастов и другом";"";"Андрей Бочкарев|Дорожное строительство"
"473";"Комментарии экспертов по аварии в московском метро, которая произошла 15 июля 2014 года";"";\N
"474";"Станция метро ""Спартак"" готовится к открытию";"";"метро «Спартак»"
"475";"На базе станции метро ""Строгино"" построят ТПУ";"";"ТПУ"
"476";"Реконструкция вылетных магистралей";"";"Дороги|Дорожное строительство"
"477";"""Москва в цифрах"": реконструкция бассейна ""Лужники""";"";\N
