"id";"name";"meta_keywords";"tags"
"449";"Подготовка к запуску станции метро ""Тропарево"" Сокольнической линии";"";"метро|строительство|Сокольническая линия|станции метро|освещение работы Стройкомплекса|метро «Тропарево» (Сокольническая линия)|ЮЗАО"
"450";"Открытие Бабушкинского районного суда. С. Собянин, М. Хуснуллин";"";"Москва|строительство|Сергей Собянин|СВАО"
"451";"Строительство хоккейного комплекса ""Арена Легенд"". М. Хуснуллин";"";"Марат Хуснуллин|строительство|спортивные объекты|Промзоны|ЮАО"
"452";"Посещение детского сада на улице Тухачевского. С. Собянин";"";"жители|детские сады|строительство|объекты образования|Сергей Собянин|СЗАО"
"453";"Осмотр строительства в ММДЦ ""Москва-Сити"". М. Хуснуллин";"";"Москва|Марат Хуснуллин|строительство|Москва-Сити|СЗАО"
"454";"Открытие станции метро ""Тропарево"" Сокольнической линии. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|Андрей Бочкарев|метро|строительство метро|строительство|станции метро|метро «Тропарево» (Сокольническая линия)|Сергей Собянин|ЮЗАО"
"455";"Ход реконструкции БСА ""Лужники"". А. Бочкарев";"";"Андрей Бочкарев|строительство|спортивные объекты|реконструкция|ЦАО"
"456";"IV Московский урбанистический форум. С. Собянин, М. Хуснуллин, С. Кузнецов";"";"Москва|собрание|Марат Хуснуллин|Сергей Лёвкин|Сергей Кузнецов|конкурсы|форум|Городские конкурсы|Урбанистический форум|Сергей Собянин|Михаил Мень"
"457";"Второй день работы IV Московского урбанистического форума. С. Собянин, М. Хуснуллин";"";"Москва|Марат Хуснуллин|форум|Урбанистический форум|Сергей Собянин"
"458";"Реконструкция Большой спортивной арены ""Лужники"". М. Хуснуллин, А. Бочкарев";"";"Москва|Марат Хуснуллин|Андрей Бочкарев|строительство|спортивные объекты|реконструкция|ЦАО"
"459";"Марат Хуснуллин наградил лучших молодых специалистов Стройкомплекса Москвы в области панельного и монолитного строительства";"";"собрание|Марат Хуснуллин|Городские конкурсы|Награждения"
"460";"Строительство станции метро ""Рассказовка""";"";"жители|метро|строительство метро|строительство|Калининско-Солнцевская линия|станции метро|ТиНАО"
"461";"Открытие участка скоростной трассы ""Москва - Санкт-Петербург"". С. Иванов, С. Собянин, М. Хуснуллин, А. Воробьев, М. Соколов";"";"Москва|дороги|Марат Хуснуллин|строительство|развязки|транспортные развязки|вылетные магистрали|Сергей Собянин|САО"
"462";"""Центральный детский магазин на Лубянке"" до и после реконструкции";"";\N
"463";"Уникальная интерактивная карта Москвы в ""Доме на Брестской"". М. Хуснуллин, С. Левкин, О. Диденко";"";"Москва|презентация|Марат Хуснуллин|Сергей Лёвкин|выставка"
"464";"Завершаются отделочные работы на станции метро ""Котельники"" Таганско-Краснопресненской линии";"";"Москва|метро|строительство метро|строительство|станции метро|метро «Котельники» (Таганско-Краснопресненская линия)|ЮВАО"
"465";"Открытие дошкольного отделения средней школы № 481";"";\N
"466";"Реконструкция Большой Академической улицы. П. Аксенов";"";"Москва|дороги|строительство|развязки|проходка тоннелей|реконструкция|инженерные сети и сооружения|Северо-Западная хорда|Петр Аксенов|САО"
"467";"Реконструкция театра «Геликон-опера»";"";"строительство|реконструкция|ЦАО|Объекты культуры"
"468";"Строительство станции метро «Петровско-Разумовская»";"";"Москва|метро|строительство метро|строительство|Люблинско-Дмитровская линия|станции метро|метро «Петровско-Разумовская» (Люблинско-Дмитровская линия)|САО"
"469";"Субботний объезд ТиНАО. М. Хуснуллин, А. Бочкарев";"";"Москва|МКАД|дороги|Марат Хуснуллин|Андрей Бочкарев|строительство метро|строительство|развязки|вылетные магистрали|эстакады|Сокольническая линия|станции метро|реконструкция|Ленинский проспект|метро «Румянцево» (Сокольническая линия)|ТиНАО|НАО"
"470";"Строительство станции метро ""Ломоносовский проспект"". С. Собянин, М. Хуснуллин, А. Бочкарев, Д. Пегов, А. Гончаров";"";"Москва|Марат Хуснуллин|Андрей Бочкарев|метро|строительство метро|строительство|Калининско-Солнцевская линия|станции метро|метро «Ломоносовский проспект»|Сергей Собянин|ЗАО"
"471";"Строительство станции метро ""Хорошевская""";"";"Москва|метро|строительство метро|строительство|тоннели|Третий пересадочный контур|станции метро|метро «Хорошевская» (Третий пересадочный контур)"
"472";"Детская музыкальная школа имени Калинникова. С. Собянин, М. Хуснуллин";"";"Марат Хуснуллин|Андрей Бочкарев|школа|объекты образования|Сергей Собянин|СВАО|Объекты культуры"
"473";"Строительство технопарка МФТИ. М. Хуснуллин";"";"Москва|Марат Хуснуллин|Андрей Бочкарев|строительство|объекты образования|СВАО"
"474";"Спортивный праздник «Лыжня строителей-2015»";"";\N
"475";"Реконструкция развязки на пересечении Ленинского проспекта и МКАД. С. Собянин, М. Хуснуллин, П. Аксенов";"";"МКАД|дороги|Марат Хуснуллин|строительство|развязки|транспортные развязки|вылетные магистрали|реконструкция|Ленинский проспект|Сергей Собянин|Петр Аксенов|ЮЗАО"
"476";"Строительство станции метро ""Ломоносовский проспект"". М. Хуснуллин";"";"Марат Хуснуллин|метро|строительство метро|строительство|Калининско-Солнцевская линия|станции метро|Калининская линия|метро «Ломоносовский проспект»|ЗАО"
